x-axis,1KHZ,3
second,Volt,Volt
-18.5000000E-03,+20.1527188E-03,+26.0564871E-03
-18.4994200E-03,+20.4874468E-03,+19.3619262E-03
-18.4988400E-03,+19.9853547E-03,+12.6673654E-03
-18.4982600E-03,+19.9853547E-03,+19.3619261E-03
-18.4976800E-03,+20.6548108E-03,+12.6673655E-03
-18.4971000E-03,+20.1527188E-03,+19.3619261E-03
-18.4965200E-03,+19.9853547E-03,+12.6673656E-03
-18.4959400E-03,+19.9853547E-03,+19.3619262E-03
-18.4953600E-03,+20.1527188E-03,+19.3619260E-03
-18.4947800E-03,+20.3200828E-03,+12.6673657E-03
-18.4942000E-03,+19.8179908E-03,+19.3619262E-03
-18.4936200E-03,+20.6548108E-03,+19.3619259E-03
-18.4930400E-03,+20.3200827E-03,+12.6673650E-03
-18.4924600E-03,+19.6506268E-03,+5.9728054E-03
-18.4918800E-03,+20.4874468E-03,+19.3619262E-03
-18.4913000E-03,+20.4874468E-03,+19.3619262E-03
-18.4907200E-03,+20.1527188E-03,+19.3619257E-03
-18.4901400E-03,+20.1527188E-03,+12.6673666E-03
-18.4895600E-03,+20.6548108E-03,+26.0564871E-03
-18.4889800E-03,+19.9853547E-03,+26.0564871E-03
-18.4884000E-03,+19.3158987E-03,+26.0564857E-03
-18.4878200E-03,+19.9853547E-03,+12.6673661E-03
-18.4872400E-03,+19.8179908E-03,+19.3619262E-03
-18.4866600E-03,+20.1527188E-03,+19.3619254E-03
-18.4860800E-03,+20.1527188E-03,+12.6673654E-03
-18.4855000E-03,+20.1527188E-03,+12.6673654E-03
-18.4849200E-03,+20.4874467E-03,+12.6673645E-03
-18.4843400E-03,+19.8179907E-03,+5.9728054E-03
-18.4837600E-03,+19.6506267E-03,+12.6673673E-03
-18.4831800E-03,+19.4832628E-03,+26.0564861E-03
-18.4826000E-03,+20.3200827E-03,+19.3619262E-03
-18.4820200E-03,+19.9853547E-03,+19.3619262E-03
-18.4814400E-03,+19.6506268E-03,+19.3619251E-03
-18.4808600E-03,+20.1527187E-03,+12.6673654E-03
-18.4802800E-03,+19.9853548E-03,+12.6673654E-03
-18.4797000E-03,+20.1527187E-03,+12.6673654E-03
-18.4791200E-03,+19.9853547E-03,+12.6673654E-03
-18.4785400E-03,+19.6506267E-03,+12.6673641E-03
-18.4779600E-03,+19.6506268E-03,+5.9728058E-03
-18.4773800E-03,+19.9853547E-03,+12.6673654E-03
-18.4768000E-03,+19.8179907E-03,+12.6673668E-03
-18.4762200E-03,+19.6506268E-03,+19.3619234E-03
-18.4756400E-03,+20.3200826E-03,+5.9728045E-03
-18.4750600E-03,+19.4832628E-03,+5.9728060E-03
-18.4744800E-03,+20.1527188E-03,+12.6673669E-03
-18.4739000E-03,+20.3200829E-03,+19.3619262E-03
-18.4733200E-03,+20.6548107E-03,+19.3619246E-03
-18.4727400E-03,+19.9853549E-03,+12.6673637E-03
-18.4721600E-03,+20.4874468E-03,+5.9728045E-03
-18.4715800E-03,+20.6548105E-03,+5.9728079E-03
-18.4710000E-03,+19.4832628E-03,+19.3619262E-03
-18.4704200E-03,+20.1527187E-03,+19.3619245E-03
-18.4698400E-03,+19.8179907E-03,+12.6673654E-03
-18.4692600E-03,+19.8179908E-03,+12.6673672E-03
-18.4686799E-03,+20.1527185E-03,+19.3619262E-03
-18.4680999E-03,+19.3158989E-03,+19.3619262E-03
-18.4675199E-03,+20.3200827E-03,+19.3619262E-03
-18.4669399E-03,+20.1527187E-03,+19.3619262E-03
-18.4663599E-03,+19.9853547E-03,+19.3619242E-03
-18.4657799E-03,+19.9853545E-03,+12.6673654E-03
-18.4651999E-03,+19.3158990E-03,+12.6673633E-03
-18.4646199E-03,+20.3200827E-03,+5.9728066E-03
-18.4640399E-03,+19.9853547E-03,+12.6673632E-03
-18.4634599E-03,+19.9853548E-03,+5.9728045E-03
-18.4628799E-03,+20.1527189E-03,+5.9728067E-03
-18.4622999E-03,+20.6548111E-03,+12.6673677E-03
-18.4617199E-03,+21.3242664E-03,+19.3619262E-03
-18.4611399E-03,+19.9853547E-03,+19.3619215E-03
-18.4605599E-03,+19.9853549E-03,+5.9728045E-03
-18.4599799E-03,+20.3200827E-03,+5.9728118E-03
-18.4593999E-03,+19.9853545E-03,+26.0564822E-03
-18.4588199E-03,+19.3158990E-03,+12.6673654E-03
-18.4582399E-03,+20.1527186E-03,+12.6673654E-03
-18.4576599E-03,+19.6506267E-03,+12.6673654E-03
-18.4570799E-03,+19.6506266E-03,+12.6673706E-03
-18.4564999E-03,+19.4832629E-03,+26.0564818E-03
-18.4559199E-03,+19.9853549E-03,+12.6673654E-03
-18.4553399E-03,+20.3200831E-03,+12.6673654E-03
-18.4547599E-03,+20.9895385E-03,+12.6673654E-03
-18.4541799E-03,+19.9853548E-03,+12.6673709E-03
-18.4535999E-03,+20.1527188E-03,+26.0564815E-03
-18.4530199E-03,+20.3200826E-03,+12.6673682E-03
-18.4524399E-03,+19.9853547E-03,+19.3619262E-03
-18.4518599E-03,+19.9853549E-03,+19.3619233E-03
-18.4512799E-03,+20.3200829E-03,+12.6673654E-03
-18.4506999E-03,+20.6548106E-03,+12.6673624E-03
-18.4501199E-03,+20.1527187E-03,+5.9728105E-03
-18.4495399E-03,+19.9853547E-03,+19.3619262E-03
-18.4489599E-03,+19.8179909E-03,+19.3619232E-03
-18.4483799E-03,+20.1527188E-03,+12.6673654E-03
-18.4477999E-03,+20.3200825E-03,+12.6673654E-03
-18.4472199E-03,+19.6506269E-03,+12.6673654E-03
-18.4466399E-03,+20.1527188E-03,+12.6673686E-03
-18.4460599E-03,+20.1527188E-03,+19.3619262E-03
-18.4454799E-03,+20.3200827E-03,+19.3619229E-03
-18.4448999E-03,+20.1527187E-03,+12.6673720E-03
-18.4443199E-03,+19.9853552E-03,+26.0564804E-03
-18.4437399E-03,+20.9895378E-03,+12.6673620E-03
-18.4431599E-03,+18.9811710E-03,+5.9728079E-03
-18.4425799E-03,+19.8179907E-03,+12.6673688E-03
-18.4419999E-03,+19.8179907E-03,+19.3619262E-03
-18.4414199E-03,+19.8179905E-03,+19.3619191E-03
-18.4408399E-03,+19.4832635E-03,+5.9728117E-03
-18.4402599E-03,+20.9895382E-03,+19.3619190E-03
-18.4396799E-03,+19.8179906E-03,+5.9728082E-03
-18.4390999E-03,+19.6506265E-03,+12.6673654E-03
-18.4385199E-03,+19.3158990E-03,+12.6673654E-03
-18.4379399E-03,+19.9853549E-03,+12.6673691E-03
-18.4373599E-03,+20.3200826E-03,+19.3619224E-03
-18.4367799E-03,+19.9853548E-03,+12.6673654E-03
-18.4361999E-03,+20.1527185E-03,+12.6673654E-03
-18.4356199E-03,+19.6506269E-03,+12.6673693E-03
-18.4350399E-03,+19.9853544E-03,+19.3619262E-03
-18.4344599E-03,+19.4832631E-03,+19.3619262E-03
-18.4338799E-03,+20.1527187E-03,+19.3619222E-03
-18.4332999E-03,+19.9853547E-03,+12.6673694E-03
-18.4327199E-03,+19.9853548E-03,+19.3619222E-03
-18.4321399E-03,+20.1527186E-03,+12.6673654E-03
-18.4315599E-03,+19.8179911E-03,+12.6673654E-03
-18.4309799E-03,+20.4874467E-03,+12.6673696E-03
-18.4303999E-03,+20.3200820E-03,+19.3619305E-03
-18.4298199E-03,+19.1485347E-03,+26.0564786E-03
-18.4292399E-03,+19.3158992E-03,+12.6673654E-03
-18.4286599E-03,+20.1527185E-03,+12.6673697E-03
-18.4280799E-03,+19.8179907E-03,+19.3619219E-03
-18.4274999E-03,+19.8179910E-03,+12.6673698E-03
-18.4269199E-03,+20.3200823E-03,+19.3619218E-03
-18.4263399E-03,+19.6506265E-03,+12.6673654E-03
-18.4257599E-03,+19.3158991E-03,+12.6673699E-03
-18.4251799E-03,+19.9853547E-03,+19.3619217E-03
-18.4245999E-03,+19.9853546E-03,+12.6673654E-03
-18.4240199E-03,+19.8179912E-03,+12.6673654E-03
-18.4234399E-03,+20.4874461E-03,+12.6673700E-03
-18.4228599E-03,+19.4832633E-03,+19.3619262E-03
-18.4222799E-03,+20.3200825E-03,+19.3619262E-03
-18.4216999E-03,+19.9853556E-03,+19.3619215E-03
-18.4211199E-03,+21.1569022E-03,+12.6673749E-03
-18.4205399E-03,+20.1527186E-03,+26.0564823E-03
-18.4199599E-03,+19.9853551E-03,+19.3619262E-03
-18.4193799E-03,+20.4874466E-03,+19.3619262E-03
-18.4187999E-03,+20.1527191E-03,+19.3619213E-03
-18.4182199E-03,+20.6548106E-03,+12.6673703E-03
-18.4176399E-03,+20.3200824E-03,+19.3619262E-03
-18.4170599E-03,+19.8179910E-03,+19.3619212E-03
-18.4164799E-03,+20.1527190E-03,+12.6673654E-03
-18.4158999E-03,+20.4874464E-03,+12.6673654E-03
-18.4153199E-03,+19.9853544E-03,+12.6673654E-03
-18.4147399E-03,+19.4832631E-03,+12.6673757E-03
-18.4141599E-03,+19.9853547E-03,+26.0564871E-03
-18.4135799E-03,+19.9853540E-03,+26.0564766E-03
-18.4129999E-03,+18.9811711E-03,+12.6673601E-03
-18.4124199E-03,+19.6506262E-03,+5.9728151E-03
-18.4118399E-03,+18.9811715E-03,+19.3619209E-03
-18.4112599E-03,+20.1527186E-03,+12.6673707E-03
-18.4106799E-03,+19.9853547E-03,+19.3619208E-03
-18.4100999E-03,+19.9853549E-03,+12.6673708E-03
-18.4095199E-03,+20.1527182E-03,+19.3619262E-03
-18.4089399E-03,+19.4832631E-03,+19.3619318E-03
-18.4083599E-03,+19.9853546E-03,+26.0564871E-03
-18.4077799E-03,+19.8179910E-03,+26.0564759E-03
-18.4071998E-03,+20.1527189E-03,+12.6673710E-03
-18.4066198E-03,+20.3200822E-03,+19.3619206E-03
-18.4060398E-03,+19.6506270E-03,+12.6673597E-03
-18.4054598E-03,+19.9853546E-03,+5.9728102E-03
-18.4048798E-03,+19.8179911E-03,+12.6673711E-03
-18.4042998E-03,+20.3200822E-03,+19.3619262E-03
-18.4037198E-03,+19.6506271E-03,+19.3619204E-03
-18.4031398E-03,+20.1527191E-03,+12.6673654E-03
-18.4025598E-03,+20.4874455E-03,+12.6673713E-03
-18.4019798E-03,+18.9811719E-03,+19.3619203E-03
-18.4013998E-03,+20.4874467E-03,+12.6673654E-03
-18.4008198E-03,+20.3200831E-03,+12.6673774E-03
-18.4002398E-03,+20.6548098E-03,+26.0564750E-03
-18.3996598E-03,+19.4832625E-03,+12.6673775E-03
-18.3990798E-03,+19.3158988E-03,+26.0564810E-03
-18.3984998E-03,+19.4832633E-03,+19.3619262E-03
-18.3979198E-03,+20.1527186E-03,+19.3619262E-03
-18.3973398E-03,+19.9853547E-03,+19.3619200E-03
-18.3967598E-03,+19.9853544E-03,+12.6673716E-03
-18.3961798E-03,+19.6506262E-03,+19.3619200E-03
-18.3955998E-03,+19.1485348E-03,+12.6673717E-03
-18.3950198E-03,+19.3158993E-03,+19.3619199E-03
-18.3944398E-03,+19.9853543E-03,+12.6673590E-03
-18.3938598E-03,+19.4832640E-03,+5.9728174E-03
-18.3932798E-03,+20.8221744E-03,+19.3619327E-03
-18.3926998E-03,+20.3200825E-03,+26.0564741E-03
-18.3921198E-03,+19.9853547E-03,+12.6673719E-03
-18.3915398E-03,+19.9853541E-03,+19.3619197E-03
-18.3909598E-03,+19.3158998E-03,+12.6673654E-03
-18.3903798E-03,+20.4874458E-03,+12.6673654E-03
-18.3897998E-03,+19.4832632E-03,+12.6673654E-03
-18.3892198E-03,+19.9853556E-03,+12.6673721E-03
-18.3886398E-03,+20.8221740E-03,+19.3619128E-03
-18.3880598E-03,+19.9853551E-03,+5.9728181E-03
-18.3874798E-03,+20.3200828E-03,+19.3619262E-03
-18.3868998E-03,+20.3200826E-03,+19.3619331E-03
-18.3863198E-03,+20.1527193E-03,+26.0564733E-03
-18.3857398E-03,+20.6548105E-03,+12.6673654E-03
-18.3851598E-03,+20.3200823E-03,+12.6673654E-03
-18.3845798E-03,+19.8179904E-03,+12.6673863E-03
-18.3839998E-03,+19.4832632E-03,+32.7510269E-03
-18.3834198E-03,+19.9853546E-03,+12.6673724E-03
-18.3828398E-03,+19.8179909E-03,+19.3619191E-03
-18.3822598E-03,+19.9853551E-03,+12.6673654E-03
-18.3816798E-03,+20.3200822E-03,+12.6673582E-03
-18.3810998E-03,+19.8179916E-03,+5.9728117E-03
-18.3805198E-03,+20.6548101E-03,+12.6673798E-03
-18.3799398E-03,+19.9853540E-03,+26.0564726E-03
-18.3793598E-03,+19.3158987E-03,+12.6673654E-03
-18.3787798E-03,+19.3158994E-03,+12.6673727E-03
-18.3781998E-03,+19.9853546E-03,+19.3619189E-03
-18.3776198E-03,+19.8179902E-03,+12.6673654E-03
-18.3770398E-03,+19.3158987E-03,+12.6673654E-03
-18.3764598E-03,+19.3158985E-03,+12.6673729E-03
-18.3758798E-03,+19.1485352E-03,+19.3619262E-03
-18.3752998E-03,+19.6506267E-03,+19.3619187E-03
-18.3747198E-03,+19.6506271E-03,+12.6673654E-03
-18.3741398E-03,+19.9853544E-03,+12.6673730E-03
-18.3735598E-03,+19.6506271E-03,+19.3619186E-03
-18.3729798E-03,+19.9853547E-03,+12.6673731E-03
-18.3723998E-03,+19.9853555E-03,+19.3619108E-03
-18.3718198E-03,+20.6548095E-03,+5.9728123E-03
-18.3712398E-03,+19.4832640E-03,+12.6673654E-03
-18.3706598E-03,+20.6548106E-03,+12.6673732E-03
-18.3700798E-03,+20.4874466E-03,+19.3619105E-03
-18.3694998E-03,+20.3200826E-03,+5.9728203E-03
-18.3689198E-03,+20.1527188E-03,+19.3619262E-03
