x-axis,1KHZ,3
second,Volt,Volt
-65.000000E-03,+4.730753E-03,-734.675754E-03
-64.997969E-03,+4.396025E-03,-741.370315E-03
-64.995939E-03,+4.396025E-03,-741.370311E-03
-64.993908E-03,+5.065481E-03,-727.981193E-03
-64.991878E-03,+3.860461E-03,-727.981197E-03
-64.989847E-03,+4.797698E-03,-734.675759E-03
-64.987817E-03,+4.195188E-03,-741.370315E-03
-64.985786E-03,+4.128242E-03,-741.370321E-03
-64.983756E-03,+3.793515E-03,-748.064853E-03
-64.981725E-03,+4.128243E-03,-727.981201E-03
-64.979695E-03,+4.730753E-03,-734.675763E-03
-64.977664E-03,+4.329080E-03,-741.370315E-03
-64.975634E-03,+4.329080E-03,-741.370315E-03
-64.973603E-03,+4.663805E-03,-741.370327E-03
-64.971573E-03,+3.525735E-03,-748.064850E-03
-64.969542E-03,+5.065478E-03,-734.675768E-03
-64.967512E-03,+3.726572E-03,-741.370315E-03
-64.965481E-03,+4.931590E-03,-741.370315E-03
-64.963451E-03,+4.998534E-03,-741.370298E-03
-64.961420E-03,+4.329079E-03,-734.675789E-03
-64.959390E-03,+4.262134E-03,-748.064894E-03
-64.957359E-03,+4.262134E-03,-754.759417E-03
-64.955329E-03,+4.329081E-03,-748.064835E-03
-64.953298E-03,+4.864644E-03,-734.675797E-03
-64.951268E-03,+4.596860E-03,-748.064876E-03
-64.949237E-03,+3.927409E-03,-748.064876E-03
-64.947206E-03,+4.730751E-03,-748.064876E-03
-64.945176E-03,+4.128245E-03,-748.064901E-03
-64.943145E-03,+4.797696E-03,-754.759410E-03
-64.941115E-03,+4.195191E-03,-748.064849E-03
-64.939084E-03,+4.797701E-03,-741.370343E-03
-64.937054E-03,+5.266312E-03,-748.064876E-03
-64.935023E-03,+3.860462E-03,-748.064876E-03
-64.932993E-03,+4.262135E-03,-748.064876E-03
-64.930962E-03,+4.396023E-03,-748.064907E-03
-64.928932E-03,+3.927410E-03,-754.759404E-03
-64.926901E-03,+4.730750E-03,-748.064876E-03
-64.924871E-03,+4.128244E-03,-748.064910E-03
-64.922840E-03,+4.396024E-03,-754.759436E-03
-64.920810E-03,+4.128241E-03,-754.759436E-03
-64.918779E-03,+3.726575E-03,-754.759436E-03
-64.916749E-03,+4.730748E-03,-754.759436E-03
-64.914718E-03,+3.860463E-03,-754.759397E-03
-64.912688E-03,+4.329077E-03,-748.064876E-03
-64.910657E-03,+3.927408E-03,-748.064916E-03
-64.908627E-03,+4.262138E-03,-754.759436E-03
-64.906596E-03,+4.931585E-03,-754.759436E-03
-64.904566E-03,+4.128248E-03,-754.759436E-03
-64.902535E-03,+4.864641E-03,-754.759392E-03
-64.900505E-03,+4.329080E-03,-748.064967E-03
-64.898474E-03,+4.462970E-03,-761.453951E-03
-64.896443E-03,+4.329080E-03,-754.759436E-03
-64.894413E-03,+4.329077E-03,-754.759436E-03
-64.892382E-03,+3.927408E-03,-754.759486E-03
-64.890352E-03,+4.195192E-03,-761.453947E-03
-64.888321E-03,+4.730753E-03,-754.759488E-03
-64.886291E-03,+4.730747E-03,-761.453945E-03
-64.884260E-03,+3.927409E-03,-754.759489E-03
-64.882230E-03,+4.329082E-03,-761.453997E-03
