x-axis,1KHZ,3
second,Volt,Volt
-43.000000E-03,+20.654811E-03,+12.667365E-03
-42.998665E-03,+20.822175E-03,+19.361927E-03
-42.997330E-03,+20.320083E-03,+26.056485E-03
-42.995995E-03,+20.320083E-03,+19.361929E-03
-42.994660E-03,+21.156903E-03,+26.056480E-03
-42.993325E-03,+21.156903E-03,+12.667365E-03
-42.991990E-03,+21.324266E-03,+12.667360E-03
-42.990655E-03,+20.654811E-03,+5.972810E-03
-42.989320E-03,+20.654811E-03,+12.667372E-03
-42.987985E-03,+20.822175E-03,+19.361919E-03
-42.986650E-03,+21.156903E-03,+12.667357E-03
-42.985315E-03,+20.989538E-03,+5.972823E-03
-42.983980E-03,+20.320084E-03,+19.361926E-03
-42.982645E-03,+20.989539E-03,+19.361926E-03
-42.981310E-03,+20.989537E-03,+19.361926E-03
-42.979975E-03,+19.817993E-03,+19.361939E-03
-42.978640E-03,+20.989539E-03,+26.056473E-03
-42.977305E-03,+20.989539E-03,+19.361941E-03
-42.975970E-03,+21.156903E-03,+26.056487E-03
-42.974635E-03,+20.989538E-03,+26.056439E-03
-42.973300E-03,+20.487446E-03,+5.972839E-03
-42.971965E-03,+20.320081E-03,+19.361926E-03
-42.970630E-03,+19.483266E-03,+19.361926E-03
-42.969295E-03,+20.822174E-03,+19.361907E-03
-42.967960E-03,+20.487448E-03,+12.667386E-03
-42.966625E-03,+20.989535E-03,+19.361926E-03
-42.965290E-03,+19.817996E-03,+19.361926E-03
-42.963955E-03,+21.324263E-03,+19.361903E-03
-42.962620E-03,+20.320086E-03,+12.667365E-03
-42.961285E-03,+21.156904E-03,+12.667390E-03
-42.959950E-03,+21.491628E-03,+19.361901E-03
-42.958615E-03,+20.822177E-03,+12.667365E-03
-42.957280E-03,+21.491625E-03,+12.667365E-03
-42.955945E-03,+20.152719E-03,+12.667365E-03
-42.954610E-03,+20.320086E-03,+12.667394E-03
-42.953275E-03,+20.989537E-03,+19.361926E-03
-42.951940E-03,+20.654812E-03,+19.361957E-03
-42.950605E-03,+20.822177E-03,+26.056456E-03
-42.949270E-03,+21.324258E-03,+19.361959E-03
-42.947935E-03,+19.483272E-03,+26.056387E-03
-42.946600E-03,+21.324264E-03,+5.972839E-03
-42.945265E-03,+20.654814E-03,+12.667400E-03
-42.943930E-03,+21.324263E-03,+19.361926E-03
-42.942595E-03,+20.654813E-03,+19.361890E-03
-42.941260E-03,+20.989535E-03,+12.667403E-03
-42.939925E-03,+20.320086E-03,+19.361926E-03
-42.938590E-03,+20.822172E-03,+19.361926E-03
-42.937255E-03,+20.320082E-03,+19.361926E-03
-42.935920E-03,+20.152720E-03,+19.361967E-03
-42.934585E-03,+20.320085E-03,+26.056445E-03
-42.933250E-03,+20.654811E-03,+19.361884E-03
-42.931914E-03,+20.654810E-03,+12.667365E-03
-42.930579E-03,+20.487446E-03,+12.667410E-03
-42.929244E-03,+20.320088E-03,+19.361881E-03
-42.927909E-03,+21.156899E-03,+12.667365E-03
-42.926574E-03,+20.654810E-03,+12.667365E-03
-42.925239E-03,+20.487448E-03,+12.667413E-03
-42.923904E-03,+20.654811E-03,+19.361926E-03
-42.922569E-03,+20.654815E-03,+19.361926E-03
-42.921234E-03,+21.156900E-03,+19.361876E-03
-42.919899E-03,+20.822177E-03,+12.667416E-03
-42.918564E-03,+21.156900E-03,+19.361874E-03
-42.917229E-03,+20.822170E-03,+12.667471E-03
-42.915894E-03,+20.152723E-03,+26.056380E-03
-42.914559E-03,+20.654808E-03,+12.667365E-03
-42.913224E-03,+20.320081E-03,+12.667421E-03
-42.911889E-03,+20.152720E-03,+19.361870E-03
-42.910554E-03,+20.320088E-03,+12.667422E-03
-42.909219E-03,+20.989539E-03,+19.361926E-03
-42.907884E-03,+20.989539E-03,+19.361809E-03
-42.906549E-03,+20.989540E-03,+5.972924E-03
-42.905214E-03,+21.156892E-03,+19.361866E-03
-42.903879E-03,+19.985365E-03,+12.667427E-03
-42.902544E-03,+21.156890E-03,+19.361926E-03
-42.901209E-03,+19.817997E-03,+19.361863E-03
-42.899874E-03,+20.487452E-03,+12.667365E-03
