x-axis,1KHZ,2,3
second,Volt,Volt,Volt
-234.413831E-03,+22.914987E-03,+32.451651E-03,-1.275362557E+00
-234.406935E-03,+22.015310E-03,+27.067164E-03,-1.286820050E+00
-234.400038E-03,+55.488114E-03,+43.679461E-03,-1.308835362E+00
-234.393142E-03,+44.930292E-03,+55.366103E-03,-1.298277540E+00
-234.386246E-03,+33.472802E-03,+32.910482E-03,-1.308835364E+00
-234.379350E-03,+33.472802E-03,+9.996032E-03,-1.298277538E+00
-234.372454E-03,+55.488119E-03,+26.608337E-03,-1.286820050E+00
-234.365558E-03,+44.930288E-03,+4.611536E-03,-1.264804733E+00
-234.358662E-03,+33.472802E-03,-1.690604E-03,-1.297377885E+00
-234.351766E-03,+77.503442E-03,+26.608340E-03,-1.276262213E+00
-234.344870E-03,+56.387765E-03,+49.522787E-03,-1.231331927E+00
-234.337974E-03,+55.488125E-03,+21.682659E-03,-1.219874445E+00
-234.331077E-03,+44.930281E-03,+37.836159E-03,-1.241889769E+00
-234.324181E-03,+77.503452E-03,+44.138287E-03,-1.253347248E+00
-234.317285E-03,+78.403082E-03,+38.294973E-03,-1.231331922E+00
-234.310389E-03,+44.930278E-03,+38.294973E-03,-1.241889772E+00
-234.303493E-03,+77.503459E-03,+60.750608E-03,-1.275362576E+00
-234.296597E-03,+78.403078E-03,+38.753777E-03,-1.286820050E+00
-234.289701E-03,+66.945605E-03,+43.679481E-03,-1.286820050E+00
-234.282805E-03,+88.960937E-03,+55.366103E-03,-1.242789386E+00
-234.275909E-03,+56.387741E-03,+66.593923E-03,-1.219874445E+00
-234.269012E-03,+33.472802E-03,+49.981591E-03,-1.241889780E+00
-234.262116E-03,+55.488138E-03,+49.522794E-03,-1.253347248E+00
-234.255220E-03,+66.945605E-03,+32.910458E-03,-1.253347248E+00
-234.248324E-03,+44.930267E-03,+32.451666E-03,-1.253347248E+00
-234.241428E-03,+55.488142E-03,+49.522796E-03,-1.231331909E+00
-234.234532E-03,+66.945605E-03,+32.910455E-03,-1.241889786E+00
-234.227636E-03,+88.960947E-03,+43.679492E-03,-1.275362589E+00
-234.220740E-03,+100.418407E-03,+44.138277E-03,-1.242789365E+00
-234.213844E-03,+78.403063E-03,+27.067147E-03,-1.263905133E+00
-234.206947E-03,+66.945605E-03,+43.679496E-03,-1.286820050E+00
-234.200051E-03,+66.945605E-03,+77.821757E-03,-1.286820050E+00
-234.193155E-03,+88.960953E-03,+78.280534E-03,-1.286820050E+00
-234.186259E-03,+34.372361E-03,+38.753748E-03,-1.264804701E+00
-234.179363E-03,+22.015350E-03,+32.451672E-03,-1.275362598E+00
-234.172467E-03,+55.488154E-03,+38.294973E-03,-1.264804699E+00
-234.165571E-03,+44.930252E-03,+49.522803E-03,-1.253347248E+00
-234.158675E-03,+11.457449E-03,+32.910441E-03,-1.253347248E+00
-234.151779E-03,+66.046065E-03,+43.679506E-03,-1.275362603E+00
-234.144882E-03,+78.403051E-03,+44.138271E-03,-1.264804694E+00
-234.137986E-03,+44.930248E-03,+38.294973E-03,-1.275362605E+00
-234.131090E-03,+55.488161E-03,+38.294973E-03,-1.264804692E+00
-234.124194E-03,+66.945605E-03,+38.294973E-03,-1.253347248E+00
-234.117298E-03,+44.930244E-03,+60.750642E-03,-1.253347248E+00
-234.110402E-03,+55.488165E-03,+49.981562E-03,-1.253347248E+00
-234.103506E-03,+88.960968E-03,+4.611466E-03,-1.297377975E+00
-234.096610E-03,+56.387678E-03,+31.992929E-03,-1.276262124E+00
-234.089714E-03,+33.472802E-03,+44.138266E-03,-1.297377979E+00
-234.082817E-03,+55.488169E-03,+27.067135E-03,-1.298277486E+00
-234.075921E-03,+110.976341E-03,+9.996005E-03,-1.242789314E+00
-234.069025E-03,+67.845102E-03,+37.836229E-03,-1.241889815E+00
-234.062129E-03,+55.488173E-03,+44.138263E-03,-1.253347248E+00
-234.055233E-03,+44.930233E-03,+38.294973E-03,-1.275362620E+00
-234.048337E-03,+55.488176E-03,+27.067132E-03,-1.264804677E+00
-234.041441E-03,+66.945605E-03,+43.679525E-03,-1.253347248E+00
-234.034545E-03,+88.960980E-03,+44.138261E-03,-1.297377999E+00
-234.027649E-03,+78.403031E-03,+38.294973E-03,-1.254246723E+00
-234.020752E-03,+66.945605E-03,+71.978502E-03,-1.241889823E+00
-234.013856E-03,+66.945605E-03,+55.824831E-03,-1.253347248E+00
-234.006960E-03,+66.945605E-03,+27.067129E-03,-1.253347248E+00
-234.000064E-03,+44.930224E-03,+9.995998E-03,-1.231331866E+00
-233.993168E-03,+77.503568E-03,+49.064095E-03,-1.241889828E+00
-233.986272E-03,+78.403024E-03,+49.981540E-03,-1.231331864E+00
-233.979376E-03,+44.930220E-03,+38.294973E-03,-1.241889830E+00
-233.972480E-03,+33.472802E-03,+38.294973E-03,-1.253347248E+00
-233.965584E-03,+77.503578E-03,+49.522821E-03,-1.231331860E+00
-233.958687E-03,+100.418407E-03,+44.138254E-03,-1.241889834E+00
-233.951791E-03,+122.433797E-03,+27.067124E-03,-1.231331858E+00
-233.944895E-03,+89.860428E-03,+9.995993E-03,-1.241889836E+00
-233.937999E-03,+66.945605E-03,+26.608414E-03,-1.231331855E+00
