x-axis,1KHZ,2,3
second,Volt,Volt,Volt
-194.445244E-03,+802.693537E-03,+448.002069E-03,-115.271927E-03
-194.438940E-03,+802.693537E-03,+430.930976E-03,-81.799197E-03
-194.432636E-03,+802.693555E-03,+448.002106E-03,-115.271963E-03
-194.426332E-03,+819.429938E-03,+465.073179E-03,-115.271963E-03
-194.420027E-03,+819.429938E-03,+430.930957E-03,-115.271963E-03
-194.413723E-03,+819.429938E-03,+430.930957E-03,-115.271963E-03
-194.407419E-03,+819.429938E-03,+430.930938E-03,-115.271925E-03
-194.401115E-03,+819.429918E-03,+413.859847E-03,-81.799161E-03
-194.394811E-03,+802.693556E-03,+430.930957E-03,-81.799239E-03
-194.388507E-03,+819.429958E-03,+430.930977E-03,-148.744726E-03
-194.382203E-03,+836.166319E-03,+448.002067E-03,-115.271963E-03
-194.375899E-03,+819.429897E-03,+430.930957E-03,-115.271882E-03
-194.369595E-03,+785.957176E-03,+430.930978E-03,-48.326480E-03
-194.363291E-03,+819.429938E-03,+448.002066E-03,-148.744683E-03
-194.356987E-03,+819.429917E-03,+430.930978E-03,-81.799202E-03
-194.350683E-03,+802.693557E-03,+448.002108E-03,-115.271963E-03
-194.344379E-03,+819.429917E-03,+465.073195E-03,-115.271878E-03
-194.338075E-03,+802.693579E-03,+448.002087E-03,-48.326444E-03
-194.331771E-03,+836.166317E-03,+448.002065E-03,-115.271963E-03
-194.325467E-03,+819.429916E-03,+430.930957E-03,-115.271920E-03
-194.319163E-03,+802.693581E-03,+430.930980E-03,-81.799205E-03
-194.312859E-03,+836.166317E-03,+448.002087E-03,-115.271919E-03
-194.306555E-03,+819.429848E-03,+448.002041E-03,-81.799161E-03
-194.300251E-03,+752.484401E-03,+413.859851E-03,-81.799115E-03
-194.293946E-03,+802.693559E-03,+430.930957E-03,-48.326449E-03
-194.287642E-03,+819.429961E-03,+430.930981E-03,-115.271917E-03
-194.281338E-03,+836.166316E-03,+448.002063E-03,-81.799068E-03
-194.275034E-03,+819.429891E-03,+430.930933E-03,-14.853696E-03
-194.268730E-03,+785.957135E-03,+413.859827E-03,-115.271963E-03
-194.262426E-03,+785.957183E-03,+413.859876E-03,-115.271915E-03
-194.256122E-03,+819.429914E-03,+448.002062E-03,-81.799161E-03
-194.249818E-03,+802.693512E-03,+430.930932E-03,-81.799161E-03
-194.243514E-03,+785.957160E-03,+413.859852E-03,-81.799210E-03
-194.237210E-03,+802.693537E-03,+430.930957E-03,-115.271914E-03
-194.230906E-03,+802.693586E-03,+430.930932E-03,-81.799161E-03
-194.224602E-03,+836.166264E-03,+413.859904E-03,-81.799211E-03
-194.218298E-03,+785.957186E-03,+465.073165E-03,-115.271862E-03
-194.211994E-03,+819.429887E-03,+430.930983E-03,-48.326409E-03
-194.205690E-03,+785.957135E-03,+448.002061E-03,-81.799161E-03
-194.199386E-03,+785.957135E-03,+430.931036E-03,-81.799212E-03
-194.193082E-03,+785.957187E-03,+482.144267E-03,-115.271911E-03
-194.186778E-03,+819.429885E-03,+430.930930E-03,-81.799213E-03
-194.180474E-03,+785.957215E-03,+413.859881E-03,-115.271963E-03
-194.174170E-03,+836.166286E-03,+448.002087E-03,-115.271910E-03
-194.167866E-03,+802.693563E-03,+448.002087E-03,-81.799214E-03
-194.161561E-03,+819.429911E-03,+448.002059E-03,-115.272017E-03
-194.155257E-03,+802.693537E-03,+430.931013E-03,-148.744711E-03
-194.148953E-03,+802.693537E-03,+465.073189E-03,-115.271908E-03
-194.142649E-03,+802.693537E-03,+448.002059E-03,-81.799216E-03
