x-axis,1KHZ,2,3
-4.5746999E+00,+2.7056075E+00,+632.9420E-03,+850.6458E-03
-4.5745499E+00,+2.7083943E+00,+607.3272E-03,+627.3876E-03
-4.5743999E+00,+2.7083943E+00,+587.4136E-03,+711.1493E-03
-4.5742499E+00,+2.6944446E+00,+613.0284E-03,+739.0167E-03
-4.5740999E+00,+2.6637586E+00,+604.4847E-03,+739.0167E-03
-4.5739499E+00,+2.7139837E+00,+558.9563E-03,+878.5133E-03
-4.5737999E+00,+2.7111810E+00,+607.3435E-03,+766.8842E-03
-4.5736499E+00,+2.7083943E+00,+618.7134E-03,+878.5133E-03
-4.5734999E+00,+2.6944446E+00,+618.7134E-03,+627.3876E-03
-4.5733499E+00,+2.7056075E+00,+618.7134E-03,+711.1493E-03
-4.5731999E+00,+2.7083943E+00,+618.7134E-03,+878.5133E-03
-4.5730499E+00,+2.6944446E+00,+618.7134E-03,+766.8842E-03
-4.5728999E+00,+2.7195572E+00,+618.7134E-03,+878.5133E-03
-4.5727499E+00,+2.6972314E+00,+576.0274E-03,+766.8842E-03
-4.5725999E+00,+2.7195572E+00,+610.1859E-03,+599.5201E-03
-4.5724499E+00,+2.7251307E+00,+618.7134E-03,+711.1493E-03
-4.5722999E+00,+2.6972314E+00,+576.0274E-03,+878.5133E-03
-4.5721499E+00,+2.7195572E+00,+610.1859E-03,+766.8842E-03
-4.5719999E+00,+2.6972314E+00,+604.4847E-03,+878.5133E-03
-4.5718499E+00,+2.7056075E+00,+601.6423E-03,+766.8842E-03
-4.5716999E+00,+2.7223439E+00,+615.8709E-03,+599.5201E-03
-4.5715499E+00,+2.7111810E+00,+590.2561E-03,+850.6458E-03
-4.5713999E+00,+2.7223439E+00,+584.5711E-03,+766.8842E-03
-4.5712499E+00,+2.7111810E+00,+613.0284E-03,+878.5133E-03
-4.5710999E+00,+2.7083943E+00,+618.7134E-03,+766.8842E-03
-4.5709499E+00,+2.7223439E+00,+618.7134E-03,+739.0167E-03
-4.5707999E+00,+2.6972314E+00,+618.7134E-03,+878.5133E-03
-4.5706499E+00,+2.7335068E+00,+618.7134E-03,+766.8842E-03
-4.5704999E+00,+2.7139678E+00,+618.7134E-03,+739.0167E-03
-4.5703499E+00,+2.7083943E+00,+604.4847E-03,+739.0167E-03
-4.5701999E+00,+2.7083943E+00,+573.1850E-03,+739.0167E-03
-4.5700499E+00,+2.7083943E+00,+595.9573E-03,+739.0167E-03
-4.5698999E+00,+2.7223439E+00,+630.0996E-03,+739.0167E-03
-4.5697499E+00,+2.7251307E+00,+621.5559E-03,+599.5201E-03
-4.5695999E+00,+2.7390803E+00,+590.2561E-03,+850.6458E-03
-4.5694499E+00,+2.7279174E+00,+627.2571E-03,+766.8842E-03
-4.5692999E+00,+2.7390803E+00,+593.0986E-03,+739.0167E-03
-4.5691499E+00,+2.7139678E+00,+598.7998E-03,+878.5133E-03
-4.5689999E+00,+2.7223439E+00,+587.4136E-03,+766.8842E-03
-4.5688499E+00,+2.7251307E+00,+584.5711E-03,+739.0167E-03
-4.5686999E+00,+2.7111810E+00,+613.0284E-03,+599.5201E-03
-4.5685499E+00,+2.7083943E+00,+632.9420E-03,+850.6458E-03
-4.5683999E+00,+2.7362936E+00,+650.0132E-03,+766.8842E-03
-4.5682499E+00,+2.7279174E+00,+624.3983E-03,+878.5133E-03
-4.5680999E+00,+2.7251307E+00,+604.4847E-03,+766.8842E-03
-4.5679499E+00,+2.7111810E+00,+587.4136E-03,+599.5201E-03
-4.5677999E+00,+2.7083943E+00,+598.7998E-03,+571.6527E-03
-4.5676499E+00,+2.7223439E+00,+587.4136E-03,+711.1493E-03
-4.5674999E+00,+2.6972314E+00,+584.5711E-03,+878.5133E-03
-4.5673499E+00,+2.7056075E+00,+598.7998E-03,+627.3876E-03
-4.5671999E+00,+2.7502432E+00,+615.8709E-03,+711.1493E-03
-4.5670499E+00,+2.7307042E+00,+590.2561E-03,+739.0167E-03
-4.5668999E+00,+2.7111810E+00,+598.7998E-03,+739.0167E-03
-4.5667499E+00,+2.7083943E+00,+615.8709E-03,+878.5133E-03
-4.5665999E+00,+2.7223439E+00,+576.0274E-03,+766.8842E-03
-4.5664499E+00,+2.7111810E+00,+624.4146E-03,+739.0167E-03
-4.5662999E+00,+2.7502432E+00,+621.5559E-03,+599.5201E-03
-4.5661499E+00,+2.7167545E+00,+632.9420E-03,+571.6527E-03
-4.5659999E+00,+2.7362936E+00,+593.0986E-03,+711.1493E-03
-4.5658499E+00,+2.7418671E+00,+627.2571E-03,+878.5133E-03
-4.5656999E+00,+2.7418671E+00,+593.0986E-03,+766.8842E-03
-4.5655499E+00,+2.7418671E+00,+598.7998E-03,+878.5133E-03
-4.5653999E+00,+2.7279174E+00,+573.1850E-03,+627.3876E-03
-4.5652499E+00,+2.7111810E+00,+610.1859E-03,+850.6458E-03
-4.5650999E+00,+2.6944446E+00,+604.4847E-03,+766.8842E-03
-4.5649499E+00,+2.7335068E+00,+615.8709E-03,+739.0167E-03
-4.5647999E+00,+2.7139678E+00,+618.7134E-03,+739.0167E-03
-4.5646499E+00,+2.7362936E+00,+590.2561E-03,+878.5133E-03
-4.5644999E+00,+2.7279174E+00,+627.2571E-03,+906.3807E-03
-4.5643499E+00,+2.7251307E+00,+593.0986E-03,+766.8841E-03
-4.5641999E+00,+2.7390803E+00,+613.0284E-03,+878.5133E-03
-4.5640499E+00,+2.7139678E+00,+632.9420E-03,+766.8841E-03
-4.5638999E+00,+2.7223439E+00,+578.8699E-03,+599.5201E-03
-4.5637499E+00,+2.7111810E+00,+595.9573E-03,+711.1493E-03
